OID_;COD_SITO;COD_PRELIEVO;SITO;FOGLIO;PARTICELLA;COMUNE;MATRICE;ANALITA;VALORE;STATO_SUPERAMENTI;RISCHIO;NRIC;UNITA_M_MANGIMI;UNITA_M_VEGETALI
1;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;SOMMA DDT/44DDE/44DDD;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
2;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;SOMMA CIS/TRANS CLORDANO;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
3;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;SELENIO;1,090000000000000;0,000000000000000;2a;201579239; ;mg/kg
4;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;RAME;10,800000000000001;0,000000000000000;2a;201579239; ;mg/kg
5;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;PIOMBO;0,420000000000000;0,000000000000000;2a;201579239; ;mg/kg
6;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;MANGANESE;0,000000000000000;0,000000000000000;2a;201579239; ;mg/kg
7;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;CROMO;1,250000000000000;0,000000000000000;2a;201579239; ;mg/kg
8;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;COBALTO;0,166000000000000;0,000000000000000;2a;201579239; ;mg/kg
9;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;CIS - CLORDANO (ISOMERO ALFA);0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
10;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;CADMIO;0,010000000000000;0,000000000000000;2a;201579239; ;mg/kg
11;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;BERILLIO;0,008860000000000;0,000000000000000;2a;201579239; ;mg/kg
12;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ARSENICO;0,300000000000000;0,000000000000000;2a;201579239; ;mg/kg
13;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ARSENICO;0,206000000000000;0,000000000000000;2a;201579239; ;mg/kg
14;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ANTIMONIO;0,046400000000000;0,000000000000000;2a;201579239; ;mg/kg
15;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ALDRIN;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
16;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ALACLOR;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
17;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;DIELDRIN;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
18;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;4,4 DDE;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
19;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ENDOSULFAN SOLFATO;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
20;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;4,4 DDD;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
21;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;2,4 DDT;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
22;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;4,4 DDT;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
23;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;DELTA-HCH;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
24;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ISODRIN;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
25;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;HCH - GAMMA (LINDANO);0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
26;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;HCH - BETA;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
27;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;HCH - ALFA;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
28;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ESACLOROBENZENE;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
29;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;EPTACLOROEPOSSIDO CIS;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
30;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;EPTACLORO EPOSSIDO;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
31;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;EPTACLORO;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
32;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;ENDRIN;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
33;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;2,4 DDE;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
34;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;SOMMA EPTACLORO/EP.EPOSSIDO;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
35;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;2,4 DDD;0,001000000000000;0,000000000000000;2a;201579239; ;mg/kg
36;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;2,3,7,8-T4CDD;0,002000000000000;0,000000000000000;2a;201579239; ;ng/kg
37;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;PECB-126;0,138000000000000;0,000000000000000;2a;201579239; ;ng/kg
38;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;PECB-123;0,020000000000000;0,000000000000000;2a;201579239; ;ng/kg
39;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;PECB-118;5,930000000000000;0,000000000000000;2a;201579239; ;ng/kg
40;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;PECB-114;0,193000000000000;0,000000000000000;2a;201579239; ;ng/kg
41;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;TECB-81;0,027600000000000;0,000000000000000;2a;201579239; ;ng/kg
42;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;STRONZIO;91,700000000000003;0,000000000000000;2a;201579212; ;mg/kg
43;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;STAGNO;0,044600000000000;0,000000000000000;2a;201579212; ;mg/kg
44;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SOMMATORIA  HCH;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
45;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SOMMA EPTACLORO/EP.EPOSSIDO;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
46;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SOMMA DDT/44DDE/44DDD;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
47;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SOMMA CIS/TRANS CLORDANO;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
48;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;EPTACLOROEPOSSIDO CIS;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
49;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PIOMBO;0,360000000000000;0,000000000000000;2a;201579212; ;mg/kg
50;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SELENIO;0,932000000000000;0,000000000000000;2a;201579212; ;mg/kg
51;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;MOLIBDENO;2,580000000000000;0,000000000000000;2a;201579212; ;mg/kg
52;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;MERCURIO;0,050000000000000;0,000000000000000;2a;201579212; ;mg/kg
53;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;MERCURIO;0,021800000000000;0,000000000000000;2a;201579212; ;mg/kg
54;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;MANGANESE;242,000000000000000;0,000000000000000;2a;201579212; ;mg/kg
55;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ISODRIN;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
56;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HCH - BETA;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
57;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HCH - ALFA;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
58;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HCH - GAMMA (LINDANO);0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
